Transaction Date,Description, Amount ,Method of Purchase,Budget,Tags
1/1/2019,Description Removed,8.75,Credit Card 2,Uncategorized,
1/1/2019,Description Removed,194.64,Credit Card 1,Uncategorized,
1/1/2019,Description Removed,19.01,Credit Card 1,Uncategorized,
1/2/2019,Description Removed,75.15,Credit Card 1,Uncategorized,
1/2/2019,Description Removed,38.68,Credit Card 1,Uncategorized,
1/2/2019,Description Removed,895,Bank,Uncategorized,
1/2/2019,Description Removed,5.34,Credit Card 1,Uncategorized,
1/3/2019,Description Removed,3.99,Credit Card 1,Uncategorized,
1/3/2019,Description Removed,5.34,Credit Card 1,Uncategorized,
1/4/2019,Description Removed,3.87,Credit Card 1,Uncategorized,
1/5/2019,Description Removed,41.86,Credit Card 1,Uncategorized,
1/5/2019,Description Removed,24.18,Credit Card 1,Uncategorized,
1/5/2019,Description Removed,5.29,Cash,Uncategorized,
1/6/2019,Description Removed,19.84,Credit Card 1,Uncategorized,
1/6/2019,Description Removed,5.29,Cash,Uncategorized,
1/7/2019,Description Removed,5.34,Cash,Uncategorized,
1/7/2019,Description Removed,7.99,Credit Card 1,Uncategorized,
1/8/2019,Description Removed,24.3,Credit Card 1,Uncategorized,
1/9/2019,Description Removed,3.84,Credit Card 1,Uncategorized,
1/9/2019,Description Removed,4.28,Credit Card 1,Uncategorized,
1/10/2019,Description Removed,31.05,Credit Card 1,Uncategorized,
1/10/2019,Description Removed,5.34,Cash,Uncategorized,
1/11/2019,Description Removed,6.42,Credit Card 1,Uncategorized,
1/13/2019,Description Removed,14.99,Credit Card 1,Uncategorized,
1/13/2019,Description Removed,4.99,Credit Card 1,Uncategorized,
1/15/2019,Description Removed,26.45,Credit Card 1,Uncategorized,
1/15/2019,Description Removed,6.42,Credit Card 1,Uncategorized,
1/16/2019,Description Removed,39.75,Credit Card 1,Uncategorized,
1/18/2019,Description Removed,59.95,Credit Card 2,Uncategorized,
1/18/2019,Description Removed,61.44,Credit Card 1,Uncategorized,
1/18/2019,Description Removed,5.29,Credit Card 1,Uncategorized,
1/18/2019,WATER,24.16,Bank,Uncategorized,
1/19/2019,Description Removed,21.41,Credit Card 1,Uncategorized,
1/20/2019,Description Removed,17.79,Credit Card 1,Uncategorized,
1/21/2019,Description Removed,30.08,Credit Card 1,Uncategorized,
1/21/2019,Description Removed,17.74,Credit Card 1,Uncategorized,
1/21/2019,SEWAGE,8.13,Credit Card 2,Uncategorized,
1/23/2019,ELECTRIC,73.83,Credit Card 2,Uncategorized,
1/23/2019,Description Removed,6.42,Credit Card 1,Uncategorized,
